name;CAS;m_mol;S;p_vap;H;koc;kow;D_air;D_w;BA;NA;LOD_w;LOD_s;NA;lamnda_s;lambda_u;NA;theta_ag;theta_bg;EPA_w;is_carc;SF_o;UR_inhal;Ref_oral;Ref_inhal;ads_derm;ads_gast;derm_per;derm_lag;derm_exp;derm_contr;MCL1;MCL2;NA;PEL_TWA;NA;AQLP_w;AQLP_w;HH_w;HH_fish;HH_fish_salt;NA
chloropropane-2;75296;  78.541	;  1557.718062	;  404.0480497	;  1.11431254	;  1.8281793179	;  2.20959631	;  0.09124295355	;  9.3029307917e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.03	;  0.1	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
acrylamide;79061;  71.0788	;  2200000	;  0.007	;  1.33024e-008	;  -0.66	;  -0.8074	;  0.097	;  1.275e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  4.5	;  0.0013	;  0.0002	;  -	;  0.1	;  0.5	;  0.00024	;  0.24	;  0.57	;  2.1e-005	;  -	;  -	; ;  0.3	; ;  -	;  -	;  -	;  -	;  -	; 
chlorothalonil;1897456;  265.91	;  22.95	;  2.41e-006	;  1.525619e-006	;  3.38034	;  3.46	;  0.049	;  6.5668393247e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.011	;  -	;  0.015	;  -	;  0.1	;  0.5	;  0.025	;  3.7	;  28	;  0.72	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlorotoluene-o;95498;  126.59	;  154	;  0.0039	;  0.1347	;  2.61	;  3.2	;  0.0701	;  8.01e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  0.26	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlorotoluene-p-4-chlorotoluene;106434;  126.585	;  117.6301851	;  2.267642602	;  0.13347640631	;  2.6957613894	;  3.305166548	;  0.06759908256	;  7.9562314642e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  0.00026	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chlorpyrifos;2921882;  350.59	;  0.9	;  1.87e-005	;  0.0001729312	;  3.7	;  4.6582	;  0.048468108631	;  5.1082939237e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.003	;  0.0002	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  4.1e-005	;  5.6e-006	;  -	;  -	;  -	; 
chromium-iii-total-chromium;16065831;  51.9961	;  0	;  0	;  0	;  3.079181246	;  0	;  0	;  0	;  1	; ;  -	;  -	; ;  -	;  -	; ;  0.0052	;  0.0045	;  NA	;  FALSE	;  -	;  -	;  1.5	;  0.0001	;  0.01	;  0.013	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chromium-iii-total-chromium;7440473;  51.9961	;  0	;  0	;  0	;  3.079181246	;  0	;  0	;  0	;  1	; ;  -	;  -	; ;  -	;  -	; ;  0.0052	;  0.0045	;  NA	;  FALSE	;  -	;  -	;  1.5	;  0.0001	;  0.01	;  0.013	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
chromium-vi;18540299;  51.9961	;  0	;  0	;  0	;  1.1461280357	;  0	;  0	;  0	;  1	; ;  0.01	;  0.007	; ;  -	;  -	; ;  0.0052	;  0.0045	;  A	;  TRUE	;  -	;  0.012	;  0.003	;  0.0001	;  0.01	;  0.025	;  0.001	;  -	;  -	;  -	;  0.1	;  -	; ;  -	; ;  0.011	;  0.05	;  0.1	;  3.32	;  2.216	; 
chrysene;218019;  228.29328	;  0.002	;  7.8e-009	;  5.02997e-005	;  5.49	;  5.521	;  0.0248	;  6.21e-006	;  1	; ;  0.01	;  0.66	; ;  2000	;  2000	; ;  -	;  -	;  B2	;  TRUE	;  0.0073	;  8.8e-007	;  -	;  -	;  0.13	;  0.89	;  0.81	;  2.2	;  10	;  46	;  -	;  -	; ;  -	; ;  -	;  -	;  0.000417	;  0.0081	;  0.0054	; 
