name;CAS;m_mol;S;p_vap;H;koc;kow;D_air;D_w;BA;NA;LOD_w;LOD_s;NA;lamnda_s;lambda_u;NA;theta_ag;theta_bg;EPA_w;is_carc;SF_o;UR_inhal;Ref_oral;Ref_inhal;ads_derm;ads_gast;derm_per;derm_lag;derm_exp;derm_contr;MCL1;MCL2;NA;PEL_TWA;NA;AQLP_w;AQLP_w;HH_w;HH_fish;HH_fish_salt;NA
dichlorvos;62737;  220.97694	;  16000	;  0.0527	;  3.982406e-005	;  9.59	;  1.4	;  0.02315	;  7.8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.29	;  -	;  0.0005	;  0.0005	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1	; ;  -	;  -	;  -	;  -	;  -	; 
dicrotophos-bidrin;141662;  237.191	;  13138818.56	;  0.001680632079	;  1.4931533031e-010	;  -0.96750016027	;  -0.7653062782	;  0.04331797799	;  5.6985887898e-006	;  1	; ;  0.01	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dicyclopentadiene;77736;  132	;  insoluble	;  1.4	;  -	;  2.96	;  3.6	;  0.0732	;  8.48e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.03	;  0.027	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
allyl-alcohol;107186;  58.08004	;  320000	;  26.25	;  0.00020785	;  0.51	;  0.17	;  0.114	;  1.1e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.005	;  0.0048	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  5	; ;  -	;  -	;  -	;  -	;  -	; 
dieldrin;60571;  380.91292	;  0.195	;  9.96e-007	;  0.0001109919	;  4.33	;  5.4478	;  0.0125	;  4.74e-006	;  1	; ;  -	;  -	; ;  2160	;  2160	; ;  -	;  -	;  B2	;  TRUE	;  16	;  0.0046	;  5e-005	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  0.25	; ;  1.9e-006	;  1.9e-006	;  1.71e-006	;  2e-006	;  8e-007	; 
diethanolamine;111422;  105.1364	;  isc.	;  0.0001	;  1.9e-011	;  -2.09507592	;  -2.131593001	;  0.07146761679	;  9.0970880423e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0005	;  0.002	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diethyl-phthalate;84662;  222.24076	;  1080	;  0.00165	;  1.87065e-005	;  2.18	;  2.6456	;  0.0256	;  6.35e-006	;  1	; ;  0.01	;  0.66	; ;  112	;  112	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.8	;  0.005	;  0.1	;  0.9	;  -	;  -	;  -	;  -	;  -	;  -	; ;  5	; ;  -	;  -	;  23	;  120	;  120	; 
diethylene-glycol;111466;  106.1212	;  1000000	;  0.001299870089	;  3.8821480693e-009	;  -1.3337069111	;  -1.357056878	;  0.07307068149	;  9.1521731838e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  2	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diethylene-glycol-monobutyl-ether;112345;  162.23	;  51061.08	;  0.00158	;  2.75e-007	;  0.75	;  1	;  0.051355	;  6.35e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.09	;  0.02	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diethylhexyl-adipate;103231;  370.57308	;  0.00171	;  8.25e-005	;  0.97790831193	;  5.58	;  8.1154	;  0.035643112654	;  3.7198810931e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  TRUE	;  0.0012	;  -	;  0.6	;  0.124	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.4	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diethylstilbestrol;56531;  268.3556	;  13000	;  1.064e-009	;  2.61891e-013	;  4.8750612634	;  5.6406	;  0.044314538201	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  A	;  TRUE	;  4700	;  -	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diisobutylene-trimethyl-1-pentene-2-4-4;107391;  112.2144	;  3.173823101	;  37.96836427	;  73.357391387	;  3.7524831225	;  4.639579647	;  0.06249909067	;  6.6984037493e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.06	;  0.2	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diisopropyl-ether-2-2-oxybis-propane;108203;  102.176	;  2665.552855	;  77.55848994	;  0.1626137913	;  1.8144899912	;  2.192309624	;  0.0681085484	;  7.1519535365e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.1	;  0.001	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  2100	; ;  -	;  -	;  -	;  -	;  -	; 
dimethenamid;87674688;  275.8	;  37513	;  5.42e-006	;  2.182425e-009	;  1.35321	;  1.49	;  0.038	;  5.3464984675e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.015	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
allyl-chloride;107051;  76.5257	;  3400	;  360	;  0.45727	;  1.43	;  1.9323	;  0.098	;  1.08e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  C	;  FALSE	;  -	;  -	;  0.01	;  0.001	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  3	; ;  -	;  -	;  -	;  -	;  -	; 
dimethoate;60515;  229.26094	;  25000	;  5.09e-006	;  2.57734e-009	;  0.63	;  0.2781	;  0.08	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0002	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethoxybenzidine-3-3;119904;  244.29324	;  240	;  2.5e-007	;  1.6628e-008	;  1.78	;  2.0848	;  0.0242	;  5.5e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.014	;  -	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethyl-phenol-2-4;105679;  122.1668	;  6200	;  0.12616	;  8.314e-005	;  2.07	;  2.6074	;  0.0584	;  8.69e-006	;  1	; ;  0.005	;  0.66	; ;  14	;  14	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  0.0165	;  0.1	;  0.5	;  0.015	;  0.49	;  1.2	;  0.02	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethylaminoazobenzene-p;60117;  225.2926	;  0.4043601259	;  1.067985541e-006	;  3.2546958431e-005	;  5.06	;  5.002247254	;  0.04254355972	;  5.5696149394e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  1e-005	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethylbenz-a-anthracene-7-12;57976;  256.3464	;  0.001268889602	;  4.033483504e-010	;  6.4850531778e-006	;  6.931420618	;  7.141420618	;  0.03903596784	;  5.394947297e-006	;  1	; ;  0.01	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  250	;  0.024	;  -	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethylbenzidine-3-3;119937;  212.29444	;  240	;  3.7e-007	;  5.4041e-009	;  2.3	;  3.0176	;  0.0510218812	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  9.2	;  -	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethylnaphthalene-1-3;575417;  156.2268	;  8.845717945	;  0.007485004694	;  0.0072298929229	;  4.3042702317	;  4.37842343	;  0.05389270575	;  6.7719416898e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.04	;  -	;  0.13	;  0.89	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethylphenethylamine-alpha-alpha;122098;  149.2352	;  3542.548074	;  0.13	;  5.4545750547e-005	;  2.16288	;  2.2	;  0.055700439903	;  6.6389741757e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  0.5	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dimethylphthalate;131113;  194.19	;  4190	;  0.00912	;  2.4e-005	;  1.5	;  1.66	;  0.0568	;  6.3e-006	;  1	; ;  0.01	;  0.66	; ;  1163	;  14	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.8	;  0.005	;  0.1	;  0.9	;  -	;  -	;  -	;  -	;  -	;  -	; ;  5	; ;  -	;  -	;  313	;  2900	;  2900	; 
di-n-butyl-phthalate;84742;  278.34828	;  11.2	;  4.25e-005	;  5.94451e-005	;  4.53	;  4.61	;  0.0438	;  7.86e-006	;  1	; ;  0.01	;  0.66	; ;  23	;  23	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.1	;  0.005	;  0.1	;  1	;  -	;  -	;  -	;  -	;  -	;  -	; ;  5	; ;  -	;  -	;  2.7	;  12	;  12	; 
aluminum;7429905;  26.98154	;  0	;  0	;  0	;  2.5477747054	;  0.329	;  0	;  0	;  1	; ;  -	;  -	; ;  -	;  -	; ;  0.0015	;  0.00065	;  NA	;  FALSE	;  -	;  -	;  1	;  0.005	;  0.01	;  0.1	;  -	;  -	;  -	;  -	;  -	;  0.2	; ;  -	; ;  0.991	;  -	;  -	;  -	;  -	; 
dinitro-2-methylphenol-4-6;534521;  198.1348	;  3002.391688	;  2.87e-005	;  1.068349e-007	;  -1.5	;  2.067819659	;  0.05314288083	;  7.2668486369e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  0.0003	;  0.1	;  1	;  -	;  -	;  -	;  -	;  -	;  -	; ;  0.2	; ;  -	;  -	;  0.0134	;  0.765	;  0.765	; 
dinitrobenzene-1-3;99650;  168.10876	;  540	;  0.0002485	;  4.5727e-006	;  1.4771212547	;  1.6284	;  0.28	;  7.6e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.0001	;  0.001	;  0.1	;  0.65	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dinitrobenzene-1-4;100254;  168.10876	;  100	;  4.8301190087e-005	;  4.4413460048e-006	;  1.4184	;  1.6284	;  0.0615	;  7.18e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0004	;  0.001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dinitrophenol-2-4;51285;  184.10816	;  5800	;  0.000114	;  2.011988e-007	;  -2	;  1.7259	;  0.0273	;  9.06e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  -	;  0.1	;  1	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.07	;  14	;  14	; 
dinitrophenol-2-5;329715;  184.108	;  1789.975642	;  2.60838266e-005	;  1.4674498758e-007	;  0.0025474886727	;  2.624795695	;  0.05978272116	;  7.8407304329e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dinitrotoluene-2-4;121142;  182.13564	;  285	;  0.000174	;  3.604119e-005	;  1.71	;  2.1757	;  0.203	;  7.06e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.68	;  -	;  0.002	;  0.00015	;  0.1	;  0.85	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.0011	;  0.091	;  0.091	; 
dinitrotoluene-2-6;606202;  182.13564	;  182	;  0.00057	;  3.105279e-005	;  1.62	;  2.1757	;  0.0327	;  7.26e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.68	;  -	;  0.001	;  0.00015	;  0.1	;  0.85	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
di-n-octyl-phthalate;117840;  390.56332	;  0.02	;  4.47e-006	;  0.002776876	;  7.92	;  8.5388	;  0.0151	;  3.9e-006	;  1	; ;  0.01	;  0.66	; ;  28	;  28	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  -	;  0.1	;  0.9	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dinoseb;88857;  240.21568	;  52	;  0.0752	;  0.020785	;  3.08	;  3.673	;  0.0225	;  6.25e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.007	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dioxane-1-4;123911;  88.10632	;  900000	;  38	;  0.000203693	;  -0.26760624018	;  -0.3198	;  0.23	;  1e-005	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.011	;  -	;  -	;  0.09	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  360	; ;  -	;  -	;  -	;  -	;  -	; 
ametryn;834128;  227.3	;  185	;  1.81e-007	;  7.3258878468e-008	;  2.8851406472	;  2.884994879	;  0.0424	;  5.69752485e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.009	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
dioxin-2-3-7-8-tcdd;1746016;  321.97456	;  1.93e-005	;  7.4e-010	;  0.0014743493333	;  7.15	;  7.02	;  0.047	;  8e-006	;  1	; ;  5e-006	;  -	; ;  1180	;  1180	; ;  -	;  -	;  -	;  FALSE	;  -	;  -	;  -	;  -	;  0.03	;  0.5	;  -	;  -	;  -	;  -	;  3e-008	;  -	; ;  -	; ;  -	;  -	;  1.34e-010	;  1.4e-010	;  9.33e-011	; 
diphenyl-oxide;101848;  170.2104	;  7.778658167	;  0.0146557648	;  0.017541079804	;  4.1781918627	;  4.250164662	;  0.05296957821	;  6.6893025207e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0062	;  0.007	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  7	; ;  -	;  -	;  -	;  -	;  -	; 
diphenylamine;122394;  169.22604	;  300	;  0.004256	;  0.000182908	;  2.54	;  3.2913	;  0.068	;  6.3e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.025	;  0.01	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diphenylhydrazine-1-2;122667;  184.24068	;  1840	;  2.6e-005	;  1.421694e-007	;  2.82	;  3.056	;  0.056231357687	;  5.7e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.8	;  0.00022	;  -	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  0.0004	;  0.0054	;  0.0054	; 
diquat;85007;  344.04868	;  700000	;  1e-007	;  2.689579e-012	;  2.3117538611	;  -2.8228	;  0.055234895026	;  5.5234895026e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0022	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.02	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
disulfoton;298044;  274.40942	;  16	;  0.00023	;  0.000257734	;  3.95	;  3.8578	;  0.08	;  8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  4e-005	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
diuron;330541;  233.0972	;  42	;  1.0023587208e-007	;  3.0428277744e-008	;  2.63	;  2.6726	;  0.054017205761	;  5.3e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  0.01	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  0.07	;  -	;  -	;  -	;  -	; 
endosulfan;115297;  406.92884	;  0.51	;  9.96e-006	;  0.000465584	;  2.87	;  3.8388	;  0.0115	;  4.55e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.006	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
endosulfan-i;959988;  406.9268	;  1.73	;  2.75e-006	;  3.545921e-005	;  4.19628	;  5.2	;  0.03223999827	;  4.674831128e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  3.33e-005	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  5.6e-005	;  9e-006	;  -	;  -	;  0.002	; 
endosulfan-ii;33213659;  406.9268	;  1.16	;  1.84e-006	;  3.545921e-005	;  4.19628	;  5.2	;  0.03223999827	;  4.674831128e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.006	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  5.6e-005	;  9e-006	;  -	;  -	;  0.002	; 
amino-2-6-dinitrotoluene-4;19406510;  197.15	;  36.38	;  5.86e-007	;  1.74e-007	;  2.56	;  2.62	;  0.056	;  7.31e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.01	;  -	;  0.00016666666667	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
endosulfan-sulfate;1031078;  422.93	;  0.1025	;  1.617e-007	;  3.65e-005	;  5.9	;  6.01	;  0.03	;  4.63e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.006	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  5.6e-005	;  9e-006	;  -	;  -	;  0.002	; 
endothall;145733;  230.12806	;  100000	;  0.00018	;  1.08082e-008	;  1.9294189257	;  1.8926	;  0.05722613149	;  7.4953039218e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.02	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.1	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
endrin;72208;  380.91292	;  0.25	;  5.84e-007	;  4.94683e-005	;  3.97	;  5.4478	;  0.0125	;  4.74e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.0003	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  0.002	;  -	; ;  0.1	; ;  2.3e-006	;  2.3e-006	;  0.00127	;  0.00134	;  0.000893	; 
endrin-aldehyde;7421934;  380.91	;  0.01678	;  1.459e-005	;  0.018	;  6.33	;  6.44	;  0.0297	;  3.83e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.0003	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
endrin-ketone;53494705;  380.91	;  0.86	;  1.51e-006	;  3.66e-005	;  5.24	;  5.33	;  0.031	;  4.46e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.0003	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
epichlorohydrin;106898;  92.5251	;  66000	;  16.7	;  0.00137181	;  0.3	;  0.6262	;  0.086	;  9.8e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.0099	;  1.2e-006	;  0.002	;  0.001	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  19	; ;  -	;  -	;  -	;  -	;  -	; 
epn-o-ethyl-o-4-nitrophenyl-phenylphosphonothioate;2104645;  323.3087	;  1.4	;  1.907943446e-009	;  2e-008	;  3.7455502814	;  3.814917669	;  0.03934556469	;  5.1577440519e-006	;  1	; ;  0.01	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  1e-005	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  0.5	; ;  -	;  -	;  -	;  -	;  -	; 
esfenvalerate;66230044;  419.9064	;  0.0002	;  1.8e-011	;  1.7e-008	;  4.8042	;  6.3	;  0.02912330431	;  4.1787469257e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.002	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethalfluralin-sonolan;55283686;  333.266	;  10.101	;  8.538e-006	;  1.5405842e-005	;  4.782867	;  4.823	;  0.03753	;  4.9595179853e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.089	;  -	;  0.04	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethanol;64175;  46.0688	;  295905.3509	;  32.57438118	;  0.00027739376021	;  0.0768162	;  -0.002	;  0.1149980886	;  1.2168950021e-005	;  1	; ;  	;  	; ;  	;  	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  33	;  1.9	;  0	;  0.8	;  0.0006	;  0.17	;  0.4	;  4.9e-005	;  -	;  -	; ;  1900	; ;  -	;  -	;  -	;  -	;  -	; 
amino-4-6-dinitrotoluene-2;35572782;  197.15	;  17.3	;  1.91e-007	;  1.19e-007	;  2.75	;  2.8	;  0.056	;  7.3e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  TRUE	;  0.01	;  -	;  0.00016666666667	;  0.0001	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethion;563122;  384.4828	;  1.2	;  1.5e-006	;  2.86833e-005	;  4.1875207208	;  4.7455	;  0.0319619	;  4.6005792041e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.0005	;  0.0004	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethoprop;13194484;  242.33	;  750	;  0.00038	;  6.73434e-006	;  3.08516	;  3.14	;  0.04157901566	;  5.5557817674e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.0281	;  -	;  0.0001	;  -	;  0.1	;  0.5	;  -	;  -	;  -	;  -	;  -	;  -	; ;  -	; ;  -	;  -	;  -	;  -	;  -	; 
ethoxy-ethanol-2;110805;  90.1222	;  12	;  4.56	;  2.128384	;  -0.096910013008	;  -0.4156	;  0.0947	;  9.75e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.4	;  0.2	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  740	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-acetate;141786;  88.10632	;  79000	;  94.1	;  0.00557038	;  0.72	;  0.8642	;  0.073	;  9.7e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  NA	;  FALSE	;  -	;  -	;  0.9	;  1.44	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  1400	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-acrylate;140885;  100.11732	;  20000	;  29.5	;  0.01055878	;  2.03	;  1.2189	;  0.074	;  8.68e-006	;  1	; ;  -	;  -	; ;  -	;  -	; ;  -	;  -	;  B2	;  TRUE	;  0.048	;  -	;  -	;  0.016	;  0	;  0.8	;  -	;  -	;  -	;  -	;  -	;  -	; ;  100	; ;  -	;  -	;  -	;  -	;  -	; 
ethyl-benzene;100414;  106.1674	;  169	;  9.6	;  0.3275716	;  2.3096301674	;  3.0314	;  0.075	;  7.8e-006	;  1	; ;  0.002	;  0.005	; ;  228	;  228	; ;  -	;  -	;  D	;  FALSE	;  -	;  -	;  0.1	;  1	;  0	;  0.97	;  0.074	;  0.39	;  1.3	;  0.14	;  0.7	;  -	; ;  435	; ;  -	;  -	;  3.1	;  29	;  29	; 
