,CAS,nombre,name,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau.,Kp,Kp_ref
620,75-85-4,"2-butanol, 2-metil -","Amyl Alcohol, tert-",88,PHYSPROP,0.00056,0.000014,PHYSPROP,17,PHYSPROP,-9.1,PHYSPROP,0.81,CRC89,0.079,0.0000091,WATER 9,NA,,4.1,EPI,0.89,PHYSPROP,110000,PHYSPROP,0.0071,0.33,0.79,0.002,EPI
621,75-86-5,"Propanonitrilo, 2-hidroxi-2-metil -",Acetone Cyanohydrin,85,PHYSPROP,0.000000081,0.000000002,PHYSPROP,0.34,PHYSPROP,-19,PHYSPROP,0.93,CRC89,0.086,0.00001,WATER 9,NA,,1,EPI,-0.03,PHYSPROP,1000000,PHYSPROP,0.0018,0.32,0.76,0.0005,EPI
622,75-99-0,"Ácido propanoico, 2,2-dicloro -",Dalapon,140,PHYSPROP,0.0000023,0.000000057,EPI,0.15,EPI,-5,PHYSPROP,1.4,CRC89,0.06,0.0000094,WATER 9,NA,,3.2,EPI,0.78,PHYSPROP,500000,PHYSPROP,0.0037,0.66,1.6,0.00082,EPI
623,7550-45-0,Cloruro de titanio (ticl4) (t-4) -,Titanium Tetrachloride,190,CRC89,NA,NA,,10,ATSDR Profile,-24,CRC89,1.7,CRC89,0.038,0.0000091,WATER 9,NA,,NA,,NA,,NA,,0.0053,1.2,2.9,0.001,RAGSE
624,7553-56-2,Yodo,Iodine,250,PHYSPROP,NA,NA,,0.23,PHYSPROP,110,PHYSPROP,4.9,CRC89,NA,NA,,60,BAES,NA,,2.5,PHYSPROP,330,PHYSPROP,0.0061,2.8,6.7,0.001,RAGSE
625,7558-79-4,"Ácido fosfórico, sal de sodio (1:2)",~Disodium phosphate,140,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0046,0.66,1.6,0.001,RAGSE
626,7558-80-7,"Ácido fosfórico, sal de sodio (1:1)",~Monosodium phosphate,120,PHYSPROP,NA,NA,,NA,,60,PHYSPROP,NA,,NA,NA,,NA,,NA,,NA,,490000,PHYSPROP,0.0042,0.49,1.2,0.001,RAGSE
627,756-79-6,"Ácido fosfónico, p-metil-, dimetil éster",Dimethyl methylphosphonate,120,PHYSPROP,0.0000056,0.00000014,PHYSPROP,0.83,PHYSPROP,-48,EPI,1.2,CRC89,0.067,0.0000092,WATER 9,NA,,5.4,EPI,-0.61,PHYSPROP,1000000,PHYSPROP,0.00053,0.52,1.2,0.00012,EPI
628,759-73-9,"Urea, n-etil-n-nitroso -","Nitroso-N-ethylurea, N-",120,PHYSPROP,5.4E-009,1.3E-010,PHYSPROP,0.018,PHYSPROP,99,EPI,NA,,0.079,0.0000093,WATER 9,NA,,21,EPI,0.23,PHYSPROP,13000,PHYSPROP,0.002,0.48,1.1,0.00049,EPI
629,759-94-4,"Ácido carbamotioico, n, n-dipropil, s-etil éster",EPTC,190,PHYSPROP,0.00065,0.000016,EPI,0.024,PHYSPROP,61,EPI,0.95,CRC89,0.029,0.0000064,WATER 9,NA,,160,EPI,3.2,PHYSPROP,380,PHYSPROP,0.097,1.2,2.9,0.018,EPI
630,76-01-7,"Etano, 1,1,1,2,2-pentacloro -",Pentachloroethane,200,PHYSPROP,0.079,0.0019,EPI,3.5,PHYSPROP,-29,PHYSPROP,1.7,CRC89,0.032,0.0000086,WATER 9,NA,,140,EPI,3.2,PHYSPROP,490,PHYSPROP,0.086,1.4,3.4,0.016,EPI
631,76-03-9,"Ácido acético, 2,2,2-tricloro -",Trichloroacetic Acid,160,PHYSPROP,0.00000055,0.000000014,PHYSPROP,0.06,EPI,58,PHYSPROP,1.6,CRC89,0.052,0.0000095,WATER 9,NA,,3.2,EPI,1.3,PHYSPROP,55000,PHYSPROP,0.0071,0.86,2.1,0.0015,EPI
632,76-06-2,"Metano, tricloronitro -",Chloropicrin,160,PHYSPROP,0.084,0.0021,PHYSPROP,24,PHYSPROP,-64,PHYSPROP,1.7,CRC89,0.052,0.0000096,WATER 9,NA,,44,EPI,2.1,PHYSPROP,1600,PHYSPROP,0.023,0.88,2.1,0.0046,EPI
633,76-13-1,"Etano, 1,1,2-tricloro-1 ,2,2-trifluoro -","Trichloro-1,2,2-trifluoroethane, 1,1,2-",190,PHYSPROP,22,0.53,EPI,360,PHYSPROP,-35,PHYSPROP,1.6,CRC89,0.038,0.0000086,WATER 9,NA,,200,EPI,3.2,PHYSPROP,170,PHYSPROP,0.092,1.2,2.8,0.018,EPI
634,76-44-8,"4,7-metano-1h-indeno, 1,4,5,6,7,8,8-heptacloro-3a, 4,7,7 a-tetrahidro -",Heptachlor,370,PHYSPROP,0.012,0.00029,PHYSPROP,0.0004,PHYSPROP,96,PHYSPROP,1.6,CRC89,0.022,0.0000057,WATER 9,NA,,41000,EPI,6.1,PHYSPROP,0.18,PHYSPROP,1.1,13,50,0.14,EPI
635,7601-54-9,NA,~Trisodium phosphate,160,PHYSPROP,NA,NA,,NA,,75,PHYSPROP,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0049,0.87,2.1,0.001,RAGSE
636,7601-89-0,"Ácido perclórico, sal de sodio (1:1)",~Sodium Perchlorate,120,PHYSPROP,NA,NA,,NA,,480,EPI,2.5,CRC89,NA,NA,,NA,,NA,,NA,,2100000,PHYSPROP,0.0043,0.51,1.2,0.001,RAGSE
637,7631-86-9,Sílice,"Silica (crystalline, respirable)",60,EPI,NA,NA,,NA,,1700,PERRY,2.3,PERRY,NA,NA,,NA,,NA,,NA,,NA,,0.003,0.23,0.55,0.001,RAGSE
638,7637-07-2,NA,Boron Trifluoride,68,PHYSPROP,NA,NA,,37000,PHYSPROP,-130,PHYSPROP,2.8,CRC89,0.16,0.000022,WATER 9,NA,,NA,,0.22,PHYSPROP,3300000,PHYSPROP,0.0032,0.25,0.61,0.001,RAGSE
639,764-41-0,"2-buteno, 1,4-dicloro -","Dichloro-2-butene, 1,4-",130,PHYSPROP,0.35,0.0085,PHYSPROP,3,EPI,3.5,PHYSPROP,1.2,LANGE,0.067,0.0000093,WATER 9,NA,,130,EPI,2.6,PHYSPROP,580,PHYSPROP,0.071,0.53,1.3,0.017,EPI
640,7647-01-0,Ácido clorhídrico,Hydrogen Chloride,35,EPI,0.00000002,4.9E-010,HSDB,35000,HSDB,-110,CRC89,1.5,CRC89,0.19,0.000023,WATER 9,NA,,NA,,NA,,670000,HSDB,0.0023,0.17,0.4,0.001,RAGSE
641,765-34-4,2-Oxiranocarboxaldehido,Glycidyl,72,PHYSPROP,0.000021,0.00000051,PHYSPROP,45,PHYSPROP,-62,PHYSPROP,1.1,CRC89,0.11,0.000013,WATER 9,NA,,1,EPI,-0.12,PHYSPROP,1000000,PHYSPROP,0.0017,0.27,0.64,0.00052,EPI
642,76578-14-8,NA,Quizalofop-ethyl,370,PHYSPROP,0.00000043,0.000000011,EPI,6.5E-009,PHYSPROP,92,PHYSPROP,NA,,0.037,0.0000043,WATER 9,NA,,7700,EPI,4.3,PHYSPROP,0.3,PHYSPROP,0.066,13,31,0.0089,EPI
643,7664-38-2,Ácido fosfórico,Phosphoric Acid,98,PHYSPROP,NA,NA,,0.03,NIOSH,42,PHYSPROP,1.8,PERRY,NA,NA,,NA,,NA,,NA,,5500000,CRC89,0.0038,0.37,0.89,0.001,RAGSE
644,7664-39-3,Ácido fluorhídrico,Hydrogen Fluoride,20,PHYSPROP,0.0043,0.0001,PHYSPROP,920,PHYSPROP,-84,PHYSPROP,0.82,CRC89,0.22,0.000022,WATER 9,NA,,NA,,0.23,PHYSPROP,1000000,PHYSPROP,0.0017,0.14,0.33,0.001,RAGSE
645,7664-41-7,Amoniaco,Ammonia,17,PHYSPROP,0.00066,0.000016,PHYSPROP,7500,PHYSPROP,-78,PHYSPROP,0.7,CRC89,0.23,0.000022,WATER 9,NA,,NA,,0.23,PHYSPROP,480000,PHYSPROP,0.0016,0.13,0.31,0.001,RAGSE
646,7664-93-9,Ácido sulfúrico,Sulfuric Acid,98,PHYSPROP,NA,NA,,0.000059,PHYSPROP,10,PHYSPROP,1.8,CRC89,NA,NA,,NA,,NA,,NA,,1000000,PHYSPROP,0.0038,0.37,0.89,0.001,RAGSE
647,76738-62-0,NA,Paclobutrazol,290,PHYSPROP,3.4E-009,8.3E-011,EPI,7.5E-009,PHYSPROP,170,PHYSPROP,1.2,CRC89,0.022,0.0000057,WATER 9,NA,,920,EPI,3.2,PHYSPROP,26,PHYSPROP,0.031,4.6,11,0.0047,EPI
648,7681-49-4,Fluoruro de sodio (naf),Sodium Fluoride,42,PHYSPROP,NA,NA,,0,NIOSH,990,PHYSPROP,2.8,CRC89,NA,NA,,150,BAES,NA,,NA,,42000,PHYSPROP,0.0025,0.18,0.43,0.001,RAGSE
649,77-47-4,"1,3-ciclopentadieno, 1,2,3,4,5,5-hexacloro -",Hexachlorocyclopentadiene,270,PHYSPROP,1.1,0.027,PHYSPROP,0.06,PHYSPROP,-9,PHYSPROP,1.7,CRC89,0.027,0.0000072,WATER 9,NA,,1400,EPI,5,PHYSPROP,1.8,PHYSPROP,0.65,3.5,14,0.1,EPI
650,77-73-6,"4,7-metano-1h-indeno, 3a, 4,7,7 a-tetrahidro -",Dicyclopentadiene,130,PHYSPROP,2.6,0.063,PHYSPROP,2.3,EPI,-1,PHYSPROP,0.93,LANGE,0.056,0.0000078,WATER 9,NA,,1500,EPI,3.2,PHYSPROP,26,PHYSPROP,0.16,0.58,1.4,0.036,EPI
651,77182-82-2,"Ácido butanoico, 2-amino-4-(hidroximetilfosfinil) -, sal de amonio (1:1)","Glufosinate, Ammonium",200,PHYSPROP,1.8E-012,4.4E-014,PHYSPROP,9.1E-012,PHYSPROP,220,PHYSPROP,NA,,0.056,0.0000065,WATER 9,NA,,10,EPI,-4.8,PHYSPROP,1400000,PHYSPROP,0.00000019,1.4,3.2,0.000000034,EPI
652,7722-76-1,"Ácido fosfórico, sal de amonio (1:1)",~Monoammonium phosphate,120,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0041,0.46,1.1,0.001,RAGSE
653,7722-88-5,"Ácido difosfórico, sal de sodio (1:4)",~Tetrasodium pyrophosphate,270,PHYSPROP,NA,NA,,NA,,80,PHYSPROP,NA,,NA,NA,,NA,,NA,,NA,,81000,PHYSPROP,0.0063,3.2,7.8,0.001,RAGSE
654,7723-14-0,Fósforo,"Phosphorus, White",31,YAWS,0.086,0.0021,ATSDR Profile,0.025,ATSDR Profile,44,ATSDR Profile,1.8,ATSDR Profile,0.22,0.000028,WATER 9,3.5,BAES,1100,ATSDR Profile,3.1,ATSDR Profile,3,ATSDR Profile,0.0021,0.16,0.38,0.001,RAGSE
655,77501-63-4,NA,Lactofen,460,PHYSPROP,0.000019,0.00000047,EPI,0.00000007,PHYSPROP,45,PHYSPROP,NA,,0.032,0.0000037,WATER 9,NA,,23000,EPI,4.8,PHYSPROP,0.1,PHYSPROP,0.052,41,97,0.0063,EPI
656,7757-86-0,NA,~Monomagnesium phosphate,120,CRC89,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0042,0.5,1.2,0.001,RAGSE
657,7757-87-1,NA,~Trimagnesium phosphate,260,CRC89,NA,NA,,NA,,1200,CRC89,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0062,3.1,7.5,0.001,RAGSE
658,7757-93-9,"Ácido fosfórico, sal de calcio (1:1)",~Dicalcium phosphate,140,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0045,0.61,1.5,0.001,RAGSE
659,7758-11-4,NA,~Dipotassium phosphate,170,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0051,0.99,2.4,0.001,RAGSE
660,7758-16-9,"Ácido difosfórico, sal de sodio (1:2)",~Sodium acid pyrophosphate,220,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0057,1.8,4.4,0.001,RAGSE
661,7758-19-2,"Ácido cloroso, sal de sodio (1:1)",Chlorite (Sodium Salt),90,EPI,NA,NA,,NA,,180,CRC89,NA,,NA,NA,,NA,,NA,,NA,,640000,CRC89,0.0037,0.34,0.81,0.001,RAGSE
662,7758-23-8,"Ácido fosfórico, sal de calcio (2:1)",~Monocalcium phosphate,230,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0059,2.2,5.2,0.001,RAGSE
663,7758-29-4,"Ácido trifosfórico, sal de sodio (1:5)",~Sodium tripolyphosphate,370,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0074,12,29,0.001,RAGSE
664,7758-87-4,"Ácido fosfórico, sal de calcio (2:3)",~Tricalcium phosphate,310,CRC89,NA,NA,,NA,,1700,CRC89,3.1,CRC89,NA,NA,,NA,,NA,,NA,,NA,,0.0068,5.7,14,0.001,RAGSE
665,7773-06-0,"Ácido sulfámico, sal de amonio (1:1)",Ammonium Sulfamate,110,CRC89,NA,NA,,0,NIOSH,130,CRC89,1.8,PubChem,NA,NA,,NA,,NA,,NA,,1300000,PERRY,0.0041,0.46,1.1,0.001,RAGSE
666,7778-53-2,"Ácido fosfórico, sal de potasio (1:3)",~Tripotassium phosphate,210,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0056,1.6,3.9,0.001,RAGSE
667,7778-74-7,"Ácido perclórico, sal de potasio (1:1)",~Potassium Perchlorate,140,PHYSPROP,NA,NA,,NA,,530,PHYSPROP,2.5,CRC89,NA,NA,,NA,,NA,,NA,,15000,PHYSPROP,0.0091,0.63,1.5,0.002,RAGSE
668,7778-77-0,"Ácido fosfórico, sal de potasio (1:1)",~Monopotassium phosphate,140,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0045,0.61,1.5,0.001,RAGSE
669,7782-41-4,Flúor,Fluorine (Soluble Fluoride),38,PHYSPROP,NA,NA,,NA,,-220,PHYSPROP,1.6,CRC89,NA,NA,,150,BAES,NA,,NA,,1.7,PHYSPROP,0.0024,0.17,0.41,0.001,RAGSE
670,7782-49-2,Selenio,Selenium,79,PHYSPROP,NA,NA,,1.4E-010,EPI,220,PHYSPROP,4.8,CRC89,NA,NA,,5,SSL,NA,,NA,,NA,,0.0034,0.29,0.7,0.001,RAGSE
671,7782-50-5,Cloro,Chlorine,71,PHYSPROP,0.48,0.012,PHYSPROP,5900,PHYSPROP,-100,PHYSPROP,2.9,CRC89,0.15,0.000022,WATER 9,0.25,BAES,NA,,0.85,PHYSPROP,6300,PHYSPROP,0.0032,0.26,0.63,0.001,RAGSE
672,7782-75-4,NA,~Dimagnesium phosphate,170,CRC89,NA,NA,,NA,,NA,,2.1,CRC89,NA,NA,,NA,,NA,,NA,,NA,,0.0051,1,2.4,0.001,RAGSE
673,7783-00-8,Ácido selenioso,Selenious Acid,130,PHYSPROP,NA,NA,,NA,,70,EPI,3,CRC89,NA,NA,,NA,,NA,,NA,,900000,PERRY,0.0044,0.55,1.3,0.001,RAGSE
674,7783-06-4,NA,Hydrogen Sulfide,34,PHYSPROP,0.35,0.0086,PHYSPROP,16000,PHYSPROP,-85,PHYSPROP,1.4,CRC89,0.19,0.000022,WATER 9,NA,,NA,,0.23,PhysProp,3700,PHYSPROP,0.0022,0.16,0.39,0.001,RAGSE
675,7783-28-0,"Ácido fosfórico, sal de amonio (1:2)",~Diammonium phosphate,130,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0044,0.58,1.4,0.001,RAGSE
676,7784-42-1,Arsina,Arsine,78,PHYSPROP,NA,NA,,NA,,-120,PHYSPROP,3.2,CRC89,NA,NA,,NA,,NA,,NA,,200000,PERRY,0.0034,0.29,0.69,0.001,RAGSE
677,7785-84-4,"Ácido metafosfórico (h3p3o9), sal de sodio (1:3)",~Sodium trimetaphosphate,310,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0067,5.4,13,0.001,RAGSE
678,7785-88-8,NA,~Sodium aluminum phosphate (acidic),140,PubChem,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0046,0.68,1.6,0.001,RAGSE
679,7790-76-3,NA,~Calcium pyrophosphate,250,CRC89,NA,NA,,NA,,1200,CRC89,3.1,CRC89,NA,NA,,NA,,NA,,NA,,NA,,0.0061,2.8,6.7,0.001,RAGSE
680,7790-98-9,"Ácido perclórico, sal de amonio (1:1)",~Ammonium Perchlorate,120,PHYSPROP,NA,NA,,NA,,NA,,2,CRC89,NA,NA,,NA,,NA,,NA,,250000,PHYSPROP,0.0042,0.48,1.1,0.001,RAGSE
681,7791-03-9,NA,~Lithium Perchlorate,110,CRC89,NA,NA,,NA,,240,CRC89,2.4,CRC89,NA,NA,,NA,,NA,,NA,,590000,CRC89,0.004,0.41,1,0.001,RAGSE
682,7791-12-0,Cloruro de talio (tlcl),Thallium Chloride,240,PHYSPROP,NA,NA,,NA,,430,PHYSPROP,7,CRC89,0.052,0.000018,WATER 9,NA,,NA,,NA,,2900,PHYSPROP,0.006,2.3,5.6,0.001,RAGSE
683,78-00-2,"Plumbano, tetraetilo",~Tetraethyl Lead,320,PHYSPROP,23,0.57,PHYSPROP,0.26,PHYSPROP,-130,PHYSPROP,1.7,CRC89,0.025,0.0000064,WATER 9,NA,,650,EPI,4.2,PHYSPROP,0.29,PHYSPROP,0.095,6.8,16,0.014,EPI
684,78-11-5,"1,3-propanodiol, 2,2-bis [(nitrooxi) metil] -, 1,3-dinitrato",Pentaerythritol tetranitrate (PETN),320,PHYSPROP,0.000000054,1.3E-009,PHYSPROP,5.5E-009,EPI,140,PHYSPROP,1.8,CRC89,0.026,0.0000068,WATER 9,NA,,650,EPI,2.4,PHYSPROP,43,PHYSPROP,0.0069,6.2,15,0.001,EPI
685,78-42-2,NA,Tris(2-ethylhexyl)phosphate,430,PHYSPROP,0.0000032,0.000000079,EPI,0.000000083,PHYSPROP,-74,PHYSPROP,0.99,CRC89,0.016,0.0000039,WATER 9,NA,,2500000,EPI,9.5,PHYSPROP,0.6,PHYSPROP,93,29,130,12,EPI
686,78-48-8,"Ácido fosforotritioico, s, s, s-tributil éster",Merphos Oxide,310,PHYSPROP,0.000012,0.00000029,PHYSPROP,0.0000053,PHYSPROP,-25,CRC89,1.1,CRC89,0.02,0.000005,WATER 9,NA,,2400,EPI,5.7,PHYSPROP,2.3,PHYSPROP,1.1,6.1,24,0.17,EPI
687,78-59-1,"2-ciclohexen-1-ona, 3,5,5-trimetil -",Isophorone,140,PHYSPROP,0.00027,0.0000066,EPI,0.44,PHYSPROP,-8.1,PHYSPROP,0.93,CRC89,0.053,0.0000075,WATER 9,NA,,65,EPI,1.7,PHYSPROP,12000,PHYSPROP,0.016,0.62,1.5,0.0035,EPI
688,78-83-1,"1-propanol, 2-metil -",Isobutyl Alcohol,74,PHYSPROP,0.0004,0.0000098,PHYSPROP,10,PHYSPROP,-110,PHYSPROP,0.8,CRC89,0.09,0.00001,WATER 9,NA,,2.9,EPI,0.76,PHYSPROP,85000,PHYSPROP,0.0064,0.27,0.66,0.0019,EPI
689,78-87-5,"Propano, 1,2-dicloro -","Dichloropropane, 1,2-",110,PHYSPROP,0.12,0.0028,PHYSPROP,53,PHYSPROP,-100,PHYSPROP,1.2,PERRY,0.073,0.0000097,WATER 9,NA,,61,EPI,2,PHYSPROP,2800,PHYSPROP,0.031,0.45,1.1,0.0075,EPI
690,78-92-2,2-butanol,"Butyl alcohol, sec-",74,PHYSPROP,0.00037,0.0000091,PHYSPROP,18,PHYSPROP,-110,PHYSPROP,0.81,CRC89,0.09,0.00001,WATER 9,NA,,2.9,EPI,0.61,PHYSPROP,180000,PHYSPROP,0.0051,0.27,0.66,0.0015,EPI
691,78-93-3,2-butanona,Methyl Ethyl Ketone (2-Butanone),72,PHYSPROP,0.0023,0.000057,PHYSPROP,91,PHYSPROP,-87,PHYSPROP,0.8,CRC89,0.091,0.00001,WATER 9,NA,,4.5,EPI,0.29,PHYSPROP,220000,PHYSPROP,0.0031,0.27,0.64,0.00096,EPI
692,78-97-7,"Propanonitrilo, 2-hidroxi -",Lactonitrile,71,PHYSPROP,0.0004,0.0000098,PHYSPROP,0.12,PHYSPROP,-40,PHYSPROP,0.99,CRC89,0.1,0.000012,WATER 9,NA,,1,EPI,-0.94,PHYSPROP,470000,PHYSPROP,0.00048,0.26,0.63,0.00015,EPI
693,7803-51-2,Fosfina,Phosphine,34,PHYSPROP,1,0.024,PHYSPROP,29000,PHYSPROP,-130,PHYSPROP,1.4,CRC89,0.19,0.000022,WATER 9,NA,,NA,,-0.27,PHYSPROP,260000,PERRY,0.0022,0.16,0.39,0.001,RAGSE
694,78587-05-0,"3-tiazolidinacarboxamida, 5 - (4-clorofenil)-N-ciclohexil-4-metil-2-oxo-, (4R, 5R)-rel -",Hexythiazox,350,PHYSPROP,0.00000097,0.000000024,EPI,0.000000026,PHYSPROP,110,PHYSPROP,NA,,0.038,0.0000044,WATER 9,NA,,2100,EPI,5.6,PHYSPROP,0.5,PHYSPROP,0.6,10,24,0.083,EPI
695,79-00-5,"Etano, 1,1,2-tricloro -","Trichloroethane, 1,1,2-",130,PHYSPROP,0.034,0.00082,PHYSPROP,23,PHYSPROP,-37,PHYSPROP,1.4,CRC89,0.067,0.00001,WATER 9,NA,,61,EPI,1.9,PHYSPROP,4600,PHYSPROP,0.022,0.59,1.4,0.005,EPI
696,79-01-6,"Eteno, 1,1,2-tricloro -",Trichloroethylene,130,PHYSPROP,0.4,0.0099,PHYSPROP,69,PHYSPROP,-85,PHYSPROP,1.5,CRC89,0.069,0.00001,WATER 9,NA,,61,EPI,2.4,PHYSPROP,1300,PHYSPROP,0.051,0.57,1.4,0.012,EPI
697,79-06-1,2-propenamida,Acrylamide,71,PHYSPROP,0.00000007,1.7E-009,EPI,0.007,PHYSPROP,85,PHYSPROP,1.2,LANGE,0.11,0.000013,WATER 9,NA,,5.7,EPI,-0.67,PHYSPROP,390000,PHYSPROP,0.00073,0.26,0.63,0.00022,EPI
698,79-08-3,"Ácido acético, 2-bromo -",Bromoacetic acid,140,PHYSPROP,0.00000027,6.5E-009,PHYSPROP,0.12,PHYSPROP,50,PHYSPROP,1.9,CRC89,0.072,0.000012,WATER 9,NA,,1.4,EPI,0.41,PHYSPROP,1800000,PHYSPROP,0.0022,0.63,1.5,0.00049,EPI
699,79-10-7,Ácido 2-propenoico,Acrylic Acid,72,PHYSPROP,0.000015,0.00000037,EPI,4,PHYSPROP,13,PHYSPROP,1.1,CRC89,0.1,0.000012,WATER 9,NA,,1.4,EPI,0.35,PHYSPROP,1000000,PHYSPROP,0.0034,0.27,0.64,0.0011,EPI
700,79-11-8,"Ácido acético, 2-cloro -",Chloroacetic Acid,94,PHYSPROP,0.00000038,9.3E-009,PHYSPROP,0.065,PHYSPROP,63,PHYSPROP,1.4,CRC89,0.094,0.000012,WATER 9,NA,,1.4,EPI,0.22,PHYSPROP,860000,PHYSPROP,0.0024,0.36,0.85,0.00065,EPI
701,79-20-9,"Ácido acético, metil éster",Methyl Acetate,74,PHYSPROP,0.0047,0.00012,PHYSPROP,220,PHYSPROP,-98,PHYSPROP,0.93,CRC89,0.096,0.000011,WATER 9,NA,,3.1,EPI,0.18,PHYSPROP,240000,PHYSPROP,0.0026,0.27,0.66,0.00079,EPI
702,79-34-5,"Etano, 1,1,2,2-tetracloro -","Tetrachloroethane, 1,1,2,2-",170,PHYSPROP,0.015,0.00037,PHYSPROP,4.6,PHYSPROP,-44,PHYSPROP,1.6,CRC89,0.049,0.0000093,WATER 9,NA,,95,EPI,2.4,PHYSPROP,2800,PHYSPROP,0.035,0.92,2.2,0.0069,EPI
703,79-43-6,"Ácido acético, 2,2-dicloro -",Dichloroacetic Acid,130,PHYSPROP,0.00000034,8.4E-009,PHYSPROP,0.18,PHYSPROP,14,PHYSPROP,1.6,CRC89,0.072,0.000011,WATER 9,NA,,2.3,EPI,0.92,PHYSPROP,1000000,PHYSPROP,0.0053,0.55,1.3,0.0012,EPI
704,79-46-9,"Propano, 2-nitro -","Nitropropane, 2-",89,PHYSPROP,0.0049,0.00012,EPI,17,PHYSPROP,-91,PHYSPROP,0.98,CRC89,0.085,0.00001,WATER 9,NA,,31,EPI,0.93,PHYSPROP,17000,PHYSPROP,0.0075,0.33,0.8,0.0021,EPI
705,791-28-6,NA,Triphenylphosphine Oxide,280,PHYSPROP,0.000000022,5.3E-010,PHYSPROP,2.6E-009,EPI,160,PHYSPROP,1.2,CRC89,0.023,0.0000058,WATER 9,NA,,2000,EPI,2.8,PHYSPROP,63,PHYSPROP,0.021,3.8,9.1,0.0033,EPI
706,79277-27-3,"Ácido 2-tiofenocarboxilico, 3 -[[[[( 4-metoxi-6-metil-1 ,3,5-triazin-2-il) amino] carbonil] amino] sulfonil] -, metil éster",Thifensulfuron-methyl,390,PHYSPROP,1.7E-012,4.1E-014,PHYSPROP,1.3E-010,PHYSPROP,180,PHYSPROP,NA,,0.036,0.0000042,WATER 9,NA,,51,EPI,1.6,PHYSPROP,2200,PHYSPROP,0.00086,16,37,0.00011,EPI
707,80-05-7,"Fenol, 4,4 '- (1-metiletiliden) bis -",Bisphenol A,230,PHYSPROP,4.1E-010,1E-011,PHYSPROP,0.00000039,PHYSPROP,150,PHYSPROP,1.2,PubChem,0.025,0.0000065,WATER 9,NA,,38000,EPI,3.3,PHYSPROP,120,PHYSPROP,0.077,2,4.8,0.013,EPI
708,80-07-9,NA,"Sulfonylbis(4-chlorobenzene), 1,1'-",290,PHYSPROP,0.0000056,0.00000014,PHYSPROP,0.00000081,PHYSPROP,150,PHYSPROP,NA,,0.044,0.0000051,WATER 9,NA,,2900,EPI,3.9,PHYSPROP,2.4,PHYSPROP,0.097,4.3,10,0.015,EPI
709,80-62-6,"Ácido 2-propenoico, 2-metil-, metil éster",Methyl Methacrylate,100,PHYSPROP,0.013,0.00032,EPI,39,PHYSPROP,-48,PHYSPROP,0.94,CRC89,0.075,0.0000092,WATER 9,NA,,9.1,EPI,1.4,PHYSPROP,15000,PHYSPROP,0.014,0.38,0.92,0.0036,EPI
710,8001-35-2,Toxafeno,Toxaphene,450,PHYSPROP,0.00025,0.000006,PHYSPROP,0.0000067,PHYSPROP,77,PHYSPROP,1.7,ATSDR Profile,0.021,0.0000053,WATER 9,NA,,77000,EPI,5.9,PHYSPROP,0.55,PHYSPROP,0.42,34,82,0.052,EPI
711,8012-95-1,Aceite de parafina,Mineral oils,170,EPI,330,8.2,EPI,0.14,EPI,-9.6,EPI,0.88,ChemNet,0.036,0.0000064,WATER 9,NA,,4800,EPI,6.1,EPI,0.0037,EPI,9.8,0.95,4.3,2,EPI
712,8017-16-1,Ácidos polifosfóricos,~Polyphosphoric acid,260,EPI,NA,NA,,NA,,NA,,NA,,NA,NA,,NA,,NA,,NA,,NA,,0.0062,2.9,7,0.001,RAGSE
713,8018-01-7,NA,Mancozeb,540,PHYSPROP,6.2E-010,1.5E-011,PHYSPROP,1.3E-010,PHYSPROP,170,PhysProp,1.9,PubChem,0.02,0.0000051,WATER 9,NA,,610,EPI,1.3,PHYSPROP,6.2,PHYSPROP,0.0069,110,270,0.00077,EPI
