,CAS,nombre,name,MW,MW_ref,H,HLC,H_ref,VP,VP_ref,MP,MP_ref,rho,rho_ref,Da,Dw,D_ref,Kd,Kd_ref,Koc,Koc_ref,logKoc,logKoc_ref,S,S_ref,B,tau,tau.,Kp,Kp_ref
474,60-11-7,"Bencenamina, n, n-dimetil-4-(2-fenildiazenil) -",Dimethylamino azobenzene [p-],230,PHYSPROP,0.000000016,4E-010,PHYSPROP,0.00000007,EPI,120,PHYSPROP,NA,,0.051,0.000006,WATER 9,NA,,2000,EPI,4.6,PHYSPROP,0.23,PHYSPROP,0.54,1.9,4.6,0.094,EPI
475,60-29-7,"Etano, 1,1 '-oxibis -",Ethyl Ether,74,PHYSPROP,0.05,0.0012,PHYSPROP,540,PHYSPROP,-120,PHYSPROP,0.71,CRC89,0.085,0.0000094,WATER 9,NA,,9.7,EPI,0.89,PHYSPROP,60000,PHYSPROP,0.0078,0.27,0.66,0.0024,EPI
476,60-34-4,"Hidrazina, metil -",Methyl Hydrazine,46,PHYSPROP,0.00012,0.000003,PHYSPROP,50,PHYSPROP,-52,PHYSPROP,0.87,LANGE,0.13,0.000014,WATER 9,NA,,13,EPI,-1.1,PHYSPROP,1000000,PHYSPROP,0.00045,0.19,0.46,0.00017,EPI
477,60-51-5,"Ácido fosforoditioico, o, o-dimetil s-[2 - (metilamino)-2-oxoetil] éster",Dimethoate,230,PHYSPROP,9.9E-009,2.4E-010,EPI,0.000019,PHYSPROP,52,PHYSPROP,1.3,CRC89,0.026,0.0000067,WATER 9,NA,,13,EPI,0.78,PHYSPROP,23000,PHYSPROP,0.0016,2,4.9,0.00027,EPI
478,60-57-1,"2,7:3,6-dimetanonaft [2,3-b] oxireno, 3,4,5,6,9,9-hexacloro-1a, 2,2 a, 3,6,6 a, 7,7 a-octahidro - , (1ar, 2r, 2as, 3s, 6r, 6ar, 7s, 7as)-rel -",Dieldrin,380,PHYSPROP,0.00041,0.00001,PHYSPROP,0.0000059,PHYSPROP,180,PHYSPROP,1.8,CRC89,0.023,0.000006,WATER 9,NA,,20000,EPI,5.4,PHYSPROP,0.2,PHYSPROP,0.24,14,34,0.033,EPI
479,60207-90-1,"1H-1 ,2,4-triazol, 1 - [[2 - (2,4-diclorofenil)-4-propil-1 ,3-dioxolano-2-il] metil] -",Propiconazole,340,PHYSPROP,0.00000007,1.7E-009,EPI,0.00000042,PHYSPROP,170,EPI,1.3,CRC89,0.021,0.0000053,WATER 9,NA,,1600,EPI,3.7,PHYSPROP,110,PHYSPROP,0.04,8.7,21,0.0056,EPI
480,60238-56-4,NA,Chlorthiophos,360,PHYSPROP,0.000049,0.0000012,PHYSPROP,0.4,PHYSPROP,86,EPI,NA,,0.037,0.0000044,WATER 9,NA,,13000,EPI,5.8,PHYSPROP,0.3,PHYSPROP,0.77,11,43,0.11,EPI
481,60348-60-9,NA,"Pentabromodiphenyl ether, 2,2',4,4',5- (BDE-99)",560,PHYSPROP,0.000048,0.0000012,PHYSPROP,0.000000031,EPI,-5,EPI,2.3,IRIS Profile,0.022,0.0000056,WATER 9,NA,,22000,EPI,7.7,PHYSPROP,0.000079,PHYSPROP,0.34,150,370,0.037,EPI
482,60568-05-0,NA,Furmecyclox,250,PHYSPROP,0.00000028,6.9E-009,PHYSPROP,0.000084,PHYSPROP,33,PHYSPROP,NA,,0.048,0.0000056,WATER 9,NA,,430,EPI,4.4,PHYSPROP,0.3,PHYSPROP,0.3,2.7,6.4,0.05,EPI
483,606-20-2,"Benceno, 2-metil-1 ,3-dinitro -","Dinitrotoluene, 2,6-",180,PHYSPROP,0.000031,0.00000075,EPI,0.00057,PHYSPROP,66,PHYSPROP,1.3,CRC89,0.037,0.0000078,WATER 9,NA,,590,EPI,2.1,PHYSPROP,180,PHYSPROP,0.019,1.1,2.6,0.0037,EPI
484,608-73-1,"Ciclohexano, 1,2,3,4,5,6-hexacloro-","Hexachlorocyclohexane, Technical",290,PHYSPROP,0.00021,0.0000051,EPI,0.000035,EPI,110,EPI,NA,,0.043,0.0000051,WATER 9,NA,,2800,EPI,4.1,EPI,8,PHYSPROP,0.14,4.5,11,0.021,EPI
485,608-93-5,"Benceno, 1,2,3,4,5-pentacloro -",Pentachlorobenzene,250,PHYSPROP,0.029,0.0007,PHYSPROP,0.001,EPI,86,PHYSPROP,1.8,CRC89,0.029,0.0000079,WATER 9,NA,,3700,EPI,5.2,PHYSPROP,0.83,PHYSPROP,1,2.7,10,0.17,EPI
486,615-45-2,NA,"Methyl-1,4-benzenediamine dihydrochloride, 2-",200,PHYSPROP,2.6E-016,6.4E-018,PHYSPROP,4.1E-012,PHYSPROP,240,EPI,NA,,0.056,0.0000066,WATER 9,NA,,200,EPI,-2.1,PHYSPROP,1000000,PHYSPROP,0.000029,1.3,3.1,0.0000054,EPI
487,615-50-9,NA,"Methylbenzene-1,4-diamine sulfate, 2-",220,ChemicalBook,NA,NA,,NA,,NA,,NA,,0.052,0.0000061,WATER 9,NA,,NA,,NA,,NA,,NA,1.8,4.3,NA,
488,615-54-3,NA,"Tribromobenzene, 1,2,4-",310,PHYSPROP,0.014,0.00034,PHYSPROP,0.0055,PHYSPROP,45,PHYSPROP,2.3,ChemNet,0.029,0.0000079,WATER 9,NA,,610,EPI,4.7,PHYSPROP,4.9,PHYSPROP,0.23,6.1,15,0.034,EPI
489,616-23-9,NA,"Dichloropropanol, 2,3-",130,PHYSPROP,0.00000015,3.6E-009,PHYSPROP,0.18,PHYSPROP,-25,EPI,1.4,CRC89,0.068,0.0000099,WATER 9,NA,,5.6,EPI,0.78,PHYSPROP,64000,PHYSPROP,0.0043,0.55,1.3,0.00098,EPI
490,617-84-5,"Formamida, n, n-dietil -",Diethylformamide,100,PHYSPROP,0.0000053,0.00000013,PHYSPROP,1.2,EPI,-7.6,EPI,0.91,CRC89,0.073,0.000009,WATER 9,NA,,2.1,EPI,0.05,PHYSPROP,1000000,PHYSPROP,0.0018,0.39,0.93,0.00046,EPI
491,62-38-4,"Mercurio, (acetato-ko) fenil -",~Phenylmercuric Acetate,340,PHYSPROP,0.000000023,5.7E-010,EPI,0.000006,PHYSPROP,150,PHYSPROP,NA,,0.039,0.0000046,WATER 9,NA,,56,EPI,0.71,PHYSPROP,4400,PHYSPROP,0.00042,8.1,19,0.00006,EPI
492,62-44-2,NA,Phenacetin,180,PHYSPROP,8.7E-009,2.1E-010,EPI,0.00000069,PHYSPROP,140,PHYSPROP,NA,,0.06,0.000007,WATER 9,NA,,41,EPI,1.6,PHYSPROP,770,PHYSPROP,0.0089,1.1,2.5,0.0017,EPI
493,62-53-3,Bencenamina,Aniline,93,PHYSPROP,0.000083,0.000002,PHYSPROP,0.67,PHYSPROP,-6,PHYSPROP,1,CRC89,0.083,0.00001,WATER 9,NA,,70,EPI,0.9,PHYSPROP,36000,PHYSPROP,0.0069,0.35,0.84,0.0019,EPI
494,62-73-7,"Ácido fosfórico, 2,2-dicloroetenil dimetil éster",Dichlorvos,220,PHYSPROP,0.000023,0.00000057,EPI,0.016,PHYSPROP,-60,PHYSPROP,1.4,CRC89,0.028,0.0000073,WATER 9,NA,,54,EPI,1.4,PHYSPROP,8000,PHYSPROP,0.0046,1.8,4.4,0.0008,EPI
495,62-74-8,"Ácido acético, 2-fluoro-, sal de sodio (1:1)",Sodium Fluoroacetate,100,PHYSPROP,0.000045,0.0000011,PHYSPROP,0.00000065,PHYSPROP,200,PHYSPROP,NA,,0.088,0.00001,WATER 9,NA,,1.4,EPI,-3.8,PHYSPROP,1100000,PHYSPROP,0.0000051,0.38,0.92,0.0000013,EPI
496,62-75-9,"Metanamina, n-metil-n-nitroso -","Nitrosodimethylamine, N-",74,PHYSPROP,0.000074,0.0000018,PHYSPROP,2.7,PHYSPROP,-39,EPI,1,CRC89,0.099,0.000011,WATER 9,NA,,23,EPI,-0.57,PHYSPROP,1000000,PHYSPROP,0.00083,0.27,0.66,0.00025,EPI
497,621-64-7,NA,"Nitroso-di-N-propylamine, N-",130,PHYSPROP,0.00022,0.0000054,PHYSPROP,0.086,PHYSPROP,6.8,EPI,0.92,CRC89,0.056,0.0000078,WATER 9,NA,,280,EPI,1.4,PHYSPROP,13000,PHYSPROP,0.01,0.56,1.4,0.0023,EPI
498,624-83-9,"Metano, isocianato -",Methyl Isocyanate,57,PHYSPROP,0.038,0.00093,PHYSPROP,350,PHYSPROP,-45,PHYSPROP,0.96,CRC89,0.12,0.000013,WATER 9,NA,,40,EPI,0.79,PHYSPROP,29000,PHYSPROP,0.0073,0.22,0.53,0.0025,EPI
499,62476-59-9,"Ácido benzoico, 5 - [2-cloro-4-(trifluorometil) fenoxi]-2-nitro-, sal de sodio (1:1)",Sodium Acifluorfen,380,PHYSPROP,2.5E-009,6.1E-011,PHYSPROP,9.8E-009,EPI,280,EPI,NA,,0.036,0.0000042,WATER 9,NA,,3900,EPI,0.37,PHYSPROP,250000,PHYSPROP,0.00015,15,36,0.00002,EPI
500,63-25-2,"1-naftalenol, 1 - (n-metilcarbamato)",Carbaryl,200,PHYSPROP,0.00000013,3.3E-009,EPI,0.0000014,PHYSPROP,150,PHYSPROP,1.2,CRC89,0.027,0.0000071,WATER 9,NA,,350,EPI,2.4,PHYSPROP,110,PHYSPROP,0.024,1.4,3.4,0.0043,EPI
501,630-20-6,"Etano, 1,1,1,2-tetracloro -","Tetrachloroethane, 1,1,1,2-",170,PHYSPROP,0.1,0.0025,PHYSPROP,12,PHYSPROP,-70,PHYSPROP,1.5,CRC89,0.048,0.0000091,WATER 9,NA,,86,EPI,2.9,PHYSPROP,1100,PHYSPROP,0.079,0.92,2.2,0.016,EPI
502,631-64-1,NA,Dibromoacetic acid,220,PHYSPROP,0.00000018,4.4E-009,PHYSPROP,0.023,PHYSPROP,49,PHYSPROP,NA,,0.052,0.0000061,WATER 9,NA,,2.3,EPI,0.7,PHYSPROP,2100000,PHYSPROP,0.0016,1.7,4.2,0.00027,EPI
503,634-93-5,NA,"Trichloroaniline, 2,4,6-",200,PHYSPROP,0.000055,0.0000013,PHYSPROP,0.0044,PHYSPROP,79,PHYSPROP,NA,,0.056,0.0000066,WATER 9,NA,,4400,EPI,3.5,PHYSPROP,40,PHYSPROP,0.15,1.3,3.2,0.027,EPI
504,636-21-5,"Bencenamina, 2-metil-, clorhidrato (1:1)","Methylaniline Hydrochloride, 2-",140,PHYSPROP,0.000086,0.0000021,PHYSPROP,0.29,PHYSPROP,220,PHYSPROP,NA,,0.069,0.0000081,WATER 9,NA,,120,EPI,1.6,PHYSPROP,8300,PHYSPROP,0.000048,0.67,1.6,0.000011,EPI
